Date,SPY,QQQ,IWM,TLT,LQD,GLD,SLV,USO,AAPL,MSFT,NVDA,TSLA,ARKK,COIN,XLE,CAT,LMT,XLF,JPM,VNQ,JNJ,PG,WMT,DIS,AMD
2021-06-07,8.486909905770367e-05,0.00017564591210423878,0.000208466650871502,4.2872037826108055e-05,1.5420903672004005e-05,7.448027962720833e-05,0.00024360654023000358,0.0003206126045615829,0.0002218011364399768,0.00021609781371038472,0.0007578337216728696,0.0011372649491060802,0.0007341511086645264,0.002492004055316138,0.0003430906904489074,0.00011339347120724647,9.872925603677888e-05,0.00010019138282332003,0.00013837500216849237,0.00011760090560283892,5.2457007035642125e-05,0.00012104014728859054,9.928439740546607e-05,0.00015860741204096922,0.0003307873747331679
2021-06-08,8.145629441680313e-05,0.0001730427458901806,0.00021814758049814196,4.3242738491516816e-05,1.5261105976583976e-05,6.037137316182953e-05,0.00018856674613445962,0.0003188893861918887,0.000212939216002878,0.00021448910225851486,0.00075704245601915,0.0011361134930163942,0.0007323344947529782,0.002293341777736852,0.0003426645546998949,0.00012974229952543697,0.00010076559432132092,9.06150672223818e-05,0.00011784378819148607,0.00012343596485322138,5.4135949145150065e-05,0.00011312290325977647,9.898504026701561e-05,0.0001585403481799114,0.0003311913784550122
2021-06-09,7.85789466446669e-05,0.00016947858264224736,0.00021566463457695542,4.458924035522453e-05,1.603616151315387e-05,5.6503547104068244e-05,0.0001946624611192299,0.00032788141119677257,0.00021381503176538124,0.00020932913190169634,0.0007404171116621638,0.0011268988620502052,0.000724392887403948,0.0023792017154066975,0.00032960081303273574,0.00011516551416440047,0.00010070314893114152,8.944822589629282e-05,0.00011807703614353013,0.00011778747748665916,5.729132918071429e-05,0.0001205544114695793,0.0001001666787929766,0.0001441445189344564,0.00032540164343911905
2021-06-10,7.327769980984638e-05,0.00013365234187374126,0.00018179234180341281,4.314650859249413e-05,1.515353251959872e-05,5.62038722308212e-05,0.00019583823285156704,0.0003299755480587812,0.00017690402169596005,0.0001857547548763095,0.0006646483614541495,0.0008874026659784348,0.0005666183326542611,0.0017682803115369112,0.00033174652901242236,0.000142209413844764,9.899597559535069e-05,9.434435904488688e-05,0.00012671987345144937,0.00011788031796599608,6.110776945399997e-05,0.00010187201537765594,0.00010068439706154583,0.0001438241785019785,0.0002600149091074182
2021-06-11,7.005427569006143e-05,0.0001394326470089429,0.00018426839598684747,4.334148253887279e-05,1.5526086575736794e-05,5.7207766204772206e-05,0.00019017371649165883,0.00032730616491596877,0.00017742816249697904,0.000196126528466218,0.0006650149099758203,0.0008869057895423622,0.0005628606268576678,0.0017188281011442188,0.000294647740085267,0.00021412596746822664,8.913950694544362e-05,8.430636354535344e-05,0.0001248498628032798,0.00011186212968130167,6.182256365636276e-05,0.00010352154317968588,9.799122739834262e-05,0.0001330058751978424,0.00027489235556490927
2021-06-14,4.495077818352032e-05,0.0001021463368691424,0.00013063162281019543,3.737395658342552e-05,1.393499061569138e-05,5.876223440195763e-05,0.00016238727789884055,0.00032537183233189224,0.000147743646075922,0.00014783605332328254,0.0006097936399237127,0.0007747502781170236,0.0004890830894457353,0.0014840477704217863,0.00029404349269874277,0.00023815537582512247,6.990885355207217e-05,8.074551154182761e-05,0.00012226926482876506,7.672593694311074e-05,6.986067126137897e-05,9.99070814471521e-05,6.247888095778325e-05,0.00010942188489783199,0.0002296116727149297
2021-06-15,3.741652402984693e-05,0.00010387881168990321,0.00011288149820986053,4.048053699180284e-05,1.3896788720841558e-05,5.973435200338755e-05,0.00016203594037547965,0.0002718942371150993,0.0001627537197187681,0.00013579245363977985,0.0006136447965940974,0.0007298100294938223,0.00046984830878328164,0.001470201924463361,0.0002868442958698706,0.00023412260938212594,5.16429534713744e-05,7.27830058992499e-05,0.0001029879533703228,6.843867732267127e-05,6.42646931969378e-05,8.597275831297736e-05,4.7163410162551705e-05,0.00011011613309046125,0.00020597178989443008
2021-06-16,2.4884607720442272e-05,8.011721668946724e-05,8.143755767438276e-05,3.5815384050310835e-05,1.2311507447618521e-05,5.600930946699083e-05,0.00015732474996193186,0.0002593283552122602,0.0001438924223149544,0.00011389907621496769,0.0005287995933435199,0.0007265903113933719,0.00038896615386274305,0.0014808107968677757,0.0002551839857965449,0.0002299597131530944,4.854064205175612e-05,5.94816807582886e-05,0.00010275593525615203,6.714917393946994e-05,6.56957090634573e-05,8.593426668524719e-05,4.338438600997911e-05,8.146472251336647e-05,0.00019310520064603896
2021-06-17,2.6245816196819217e-05,7.882274155632883e-05,8.158505606358067e-05,3.560942355583548e-05,1.268614624572647e-05,6.456924058162348e-05,0.00012641729501050206,0.00024806418375833064,0.00013999878983183872,0.00010675080411965181,0.0005272510929182274,0.0007043472985020767,0.0003851872609009127,0.0014111020931754038,0.0002279916350828281,0.00022998561531992418,6.257709195093784e-05,5.935828577064939e-05,0.00010455586062307915,6.943121663328484e-05,6.564843236193817e-05,9.641898178777559e-05,6.542711832883539e-05,5.974203268191189e-05,0.00019417072877429573
2021-06-18,2.2151540282686854e-05,8.50284598473176e-05,8.538250971927084e-05,4.734369108108774e-05,1.378200918638269e-05,0.00011774768453963903,0.0002582408678279163,0.0002517123213721351,0.00014158068108376833,0.0001128030121522591,0.0006392754450353359,0.000724371705747938,0.0004376959572537168,0.0013393983601867549,0.0002633129760947615,0.0002751083480289232,5.726022758559798e-05,9.786356391454754e-05,0.00014049610974383478,6.951512693463091e-05,6.68996288793853e-05,9.512732072844251e-05,4.1029423267827495e-05,5.9438586429267684e-05,0.0003537805506402053
