Date,SPY,QQQ,IWM,TLT,LQD,GLD,SLV,USO,AAPL,MSFT,NVDA,TSLA,ARKK,COIN,XLE,CAT,LMT,XLF,JPM,VNQ,JNJ,PG,WMT,DIS,AMD
2021-05-05,388.3033752441406,319.3006591796875,209.16311645507812,118.30673217773438,108.53399658203125,167.27000427246094,24.56999969482422,44.65999984741211,124.76882934570312,236.50265502929688,14.422149658203125,223.64666748046875,109.72158813476562,273.0,21.78476905822754,217.51536560058594,337.57611083984375,33.94001770019531,138.82284545898438,79.86264038085938,145.08065795898438,117.50912475585938,43.88047409057617,177.33389282226562,77.83000183105469
2021-05-06,391.4041748046875,321.7073974609375,209.341796875,118.50151062011719,108.7404556274414,170.05999755859375,25.3700008392334,44.40999984741211,126.36619567871094,239.6308135986328,14.486486434936523,221.17999267578125,106.56420135498047,256.760009765625,21.896976470947266,216.7747344970703,338.4236755371094,34.44413375854492,141.61654663085938,80.30901336669922,145.6624755859375,118.98833465576172,44.19379425048828,177.60743713378906,77.88999938964844
2021-05-07,394.25286865234375,324.31781005859375,211.9751739501953,117.9171142578125,108.78173828125,171.58999633789062,25.469999313354492,44.43000030517578,127.03937530517578,242.2504119873047,14.775010108947754,224.1233367919922,107.92158508300781,263.70001220703125,22.287622451782227,220.3591766357422,341.0447998046875,34.62743377685547,142.10128784179688,81.36699676513672,146.32247924804688,118.99711608886719,43.92747497558594,180.58726501464844,78.80999755859375
2021-05-10,390.348876953125,316.1273498535156,206.58621215820312,116.72296142578125,108.19550323486328,172.11000061035156,25.350000381469727,44.47999954223633,123.76119995117188,237.18392944335938,14.229883193969727,209.67999267578125,102.27567291259766,293.45001220703125,22.29593276977539,221.8404541015625,343.4912109375,34.599945068359375,142.08367919921875,81.34222412109375,147.85948181152344,121.2159194946289,44.12173080444336,180.05970764160156,75.98999786376953
2021-05-11,386.8650817871094,315.690673828125,205.92784118652344,116.06233215332031,107.79918670654297,172.13999938964844,25.670000076293945,44.869998931884766,122.8440933227539,236.2723846435547,14.270283699035645,205.73333740234375,104.3805923461914,303.0,21.722440719604492,218.81382751464844,338.8429870605469,33.985862731933594,139.7217559814453,80.3172607421875,146.6524200439453,120.6172103881836,43.723812103271484,177.4901885986328,76.83000183105469
2021-05-12,378.64605712890625,307.51959228515625,199.2410430908203,114.84280395507812,107.21298217773438,170.42999267578125,25.09000015258789,45.220001220703125,119.7805404663086,229.33474731445312,13.723907470703125,196.6300048828125,100.48550415039062,283.6099853515625,21.826332092285156,217.00332641601562,332.5523681640625,33.6375617980957,138.7611541748047,78.28392028808594,146.0619659423828,119.34050750732422,42.59272384643555,173.7581024169922,74.63999938964844
2021-05-13,383.19451904296875,309.89715576171875,202.90895080566406,115.02063751220703,107.61756134033203,171.1300048828125,25.15999984741211,43.810001373291016,121.9269790649414,233.2017822265625,13.63089370727539,190.56333923339844,97.84943389892578,265.1000061035156,21.56035804748535,219.51788330078125,338.7993469238281,34.17832565307617,142.33041381835938,79.30059051513672,147.59027099609375,121.25996398925781,43.31336975097656,174.23683166503906,73.08999633789062
2021-05-14,389.0785827636719,316.73870849609375,207.86521911621094,116.09625244140625,108.20378875732422,172.69000244140625,25.459999084472656,44.709999084472656,124.3465805053711,238.11468505859375,14.20719051361084,196.5800018310547,102.60025787353516,258.3699951171875,22.22943687438965,221.49298095703125,341.4292297363281,34.71909713745117,144.54251098632812,80.24288177490234,147.81610107421875,121.51530456542969,43.71441650390625,169.70358276367188,74.58999633789062
2021-05-17,388.08856201171875,314.8172607421875,208.1474151611328,115.85063171386719,108.07988739013672,174.6999969482422,26.190000534057617,45.38999938964844,123.19532012939453,235.2648162841797,14.129884719848633,192.27667236328125,101.61664581298828,248.24000549316406,22.74476432800293,223.83384704589844,341.7262268066406,34.78324890136719,145.12416076660156,80.3255386352539,147.96371459960938,121.26874542236328,43.51701354980469,166.1668701171875,74.6500015258789
2021-05-18,384.7449035644531,312.6919860839844,206.56741333007812,115.55419921875,107.72490692138672,175.0399932861328,26.149999618530273,44.84000015258789,121.80988311767578,233.24977111816406,13.980515480041504,192.6233367919922,103.0723876953125,239.0,22.216976165771484,218.96926879882812,338.31878662109375,34.29747009277344,143.0795440673828,80.34205627441406,148.0158233642578,120.02730560302734,44.46324920654297,165.77606201171875,74.44000244140625
2021-05-19,383.7361755371094,313.0510559082031,204.97799682617188,115.27470397949219,107.53500366210938,175.16000366210938,25.729999542236328,43.43000030517578,121.65380096435547,233.82679748535156,14.030388832092285,187.82000732421875,101.28221893310547,224.8000030517578,21.664255142211914,216.59185791015625,336.85101318359375,34.086669921875,141.9867401123047,80.0858154296875,147.6944580078125,120.27381134033203,44.46638870239258,165.37550354003906,76.2300033569336
2021-05-20,387.8644104003906,319.1065368652344,206.3416748046875,116.2232666015625,108.26982879638672,175.9600067138672,25.790000915527344,42.47999954223633,124.20999145507812,237.0583953857422,14.575762748718262,195.5933380126953,104.84288024902344,233.39999389648438,21.631006240844727,214.87278747558594,339.2798767089844,34.10499954223633,141.73995971679688,80.98680114746094,148.55419921875,121.50650787353516,44.623046875,167.41741943359375,78.05999755859375
2021-05-21,387.5469055175781,317.3403625488281,206.87779235839844,116.59589385986328,108.34414672851562,176.0399932861328,25.530000686645508,43.70000076293945,122.37577056884766,235.79843139648438,14.954060554504395,193.6266632080078,104.10517120361328,224.35000610351562,21.676719665527344,216.93016052246094,338.31878662109375,34.44413375854492,143.35276794433594,80.90411376953125,148.4586639404297,121.50650787353516,44.413108825683594,168.43348693847656,77.16999816894531
2021-05-24,391.4976501464844,322.67767333984375,208.22265625,117.02784729003906,108.641357421875,176.35000610351562,25.75,45.02000045776367,124.0051040649414,241.19400024414062,15.572748184204102,202.14666748046875,106.94781494140625,225.3000030517578,21.892824172973633,218.58522033691406,338.7469177246094,34.609100341796875,144.12826538085938,81.91252899169922,149.02662658691406,121.47128295898438,44.416259765625,170.29954528808594,77.44000244140625
2021-05-25,390.6290588378906,323.1241760253906,206.21002197265625,118.11192321777344,109.0459976196289,177.9499969482422,25.989999771118164,44.91999816894531,123.80998229980469,242.09808349609375,15.60840892791748,201.56333923339844,107.587158203125,242.41000366210938,21.448144912719727,216.8661651611328,337.12176513671875,34.26081466674805,142.63890075683594,81.88774108886719,148.6159210205078,121.88510131835938,44.597984313964844,172.1167449951172,77.86000061035156
2021-05-26,391.4041748046875,324.2498474121094,210.0565643310547,117.90862274169922,108.9881591796875,177.63999938964844,25.670000076293945,45.20000076293945,123.76119995117188,241.87689208984375,15.660529136657715,206.3766632080078,109.60355377197266,241.52000427246094,21.63931655883789,217.35997009277344,335.6190490722656,34.36164093017578,142.62127685546875,82.25142669677734,147.73341369628906,121.61214447021484,44.544715881347656,172.4098358154297,78.33999633789062
2021-05-27,391.6097717285156,323.0367736816406,212.2196807861328,117.43437957763672,108.6579360961914,177.7100067138672,25.850000381469727,45.54999923706055,122.22943878173828,239.78024291992188,15.449060440063477,210.28334045410156,110.43962097167969,247.08999633789062,21.65593910217285,220.6243438720703,338.4673767089844,34.75575637817383,144.84213256835938,82.06131744384766,147.50621032714844,118.84745025634766,44.39432907104492,174.92071533203125,78.41999816894531
2021-05-28,392.3102722167969,324.0557861328125,212.07861328125,117.24808502197266,108.74871063232422,178.3800048828125,25.899999618530273,45.41999816894531,121.57572937011719,240.13604736328125,16.203659057617188,208.4066619873047,110.2625732421875,236.5399932861328,21.69750213623047,220.44140625,336.18914794921875,34.819923400878906,144.7451629638672,82.55724334716797,147.8907012939453,118.73297882080078,44.50083923339844,174.5396728515625,80.08000183105469
2021-06-01,391.964599609375,322.9786071777344,214.4862823486328,117.22179412841797,108.76277923583984,177.89999389648438,25.84000015258789,46.33000183105469,121.25377655029297,237.94322204589844,16.22361183166504,207.96665954589844,109.42650604248047,238.92999267578125,22.53281593322754,221.97764587402344,335.9429016113281,35.03071212768555,146.34036254882812,84.0450668334961,144.64016723632812,116.99845123291016,44.38492202758789,174.72532653808594,80.80999755859375
2021-06-02,392.5810546875,323.6092834472656,214.74020385742188,117.49317932128906,108.9365005493164,178.77000427246094,26.149999618530273,46.900001525878906,122.0147933959961,237.8470458984375,16.736068725585938,201.7066650390625,109.4756851196289,240.47999572753906,22.952556610107422,222.61769104003906,338.731201171875,35.08570861816406,146.34913635253906,85.02867889404297,145.22561645507812,117.50912475585938,44.28779983520508,172.9276580810547,81.97000122070312
2021-06-03,391.12408447265625,320.24200439453125,212.94386291503906,117.05210876464844,108.50633239746094,175.27000427246094,25.459999084472656,46.970001220703125,120.53179168701172,236.3178253173828,16.927085876464844,190.94667053222656,105.66911315917969,233.66000366210938,23.014890670776367,222.9651641845703,340.71917724609375,35.168190002441406,146.44613647460938,84.7145767211914,145.08580017089844,119.61347198486328,44.36612319946289,172.18515014648438,80.27999877929688
2021-06-04,394.701171875,325.6763610839844,213.86553955078125,118.65510559082031,109.27566528320312,177.16000366210938,25.780000686645508,47.2599983215332,122.8245849609375,241.20362854003906,17.534053802490234,199.68333435058594,107.71502685546875,228.7899932861328,23.168657302856445,223.1297607421875,346.6565856933594,35.25986099243164,146.68406677246094,84.75591278076172,145.02464294433594,119.70149993896484,44.4444580078125,173.10350036621094,81.58000183105469
2021-06-07,394.3182678222656,326.6468200683594,216.7340087890625,118.29042053222656,109.1846923828125,177.8699951171875,25.899999618530273,47.27000045776367,122.8343276977539,244.10821533203125,17.574705123901367,201.7100067138672,110.84290313720703,231.4499969482422,23.068918228149414,219.23443603515625,344.3784484863281,35.03071212768555,145.99667358398438,85.75605010986328,144.03720092773438,120.1153335571289,44.14680099487305,172.91787719726562,81.3499984741211
2021-06-08,394.40234375,326.8021240234375,219.02879333496094,119.1216049194336,109.59832000732422,177.32000732421875,25.610000610351562,47.880001068115234,123.65389251708984,242.91561889648438,17.41311264038086,201.19667053222656,111.27568817138672,220.66000366210938,23.268396377563477,219.60020446777344,341.757080078125,34.939064025878906,145.41502380371094,86.46690368652344,142.77023315429688,118.72416687011719,43.81154251098633,172.27308654785156,80.88999938964844
2021-06-09,393.8139343261719,326.8796691894531,217.57101440429688,120.17327117919922,109.99544525146484,176.97999572753906,25.780000686645508,47.58000183105469,124.03437042236328,243.89662170410156,17.318578720092773,199.5933380126953,111.00028228759766,224.32000732421875,23.122943878173828,214.56185913085938,340.2353515625,34.609100341796875,143.5995330810547,86.58260345458984,144.69256591796875,118.68013000488281,43.57655334472656,171.98974609375,79.95999908447266
2021-06-10,395.6445007324219,330.285888671875,215.9575653076172,120.89421844482422,110.49178314208984,177.74000549316406,25.969999313354492,47.83000183105469,123.0392074584961,247.4071044921875,17.385177612304688,203.3733367919922,113.08553314208984,221.85000610351562,23.093852996826172,206.40553283691406,341.0446472167969,34.20582580566406,141.36097717285156,87.20254516601562,145.99453735351562,119.56063842773438,43.827205657958984,172.50753784179688,81.55999755859375
2021-06-11,396.2983093261719,331.14959716796875,218.23692321777344,120.69916534423828,110.58279418945312,175.74000549316406,25.8700008392334,48.06999969482422,124.24900817871094,248.03225708007812,17.78450584411621,203.29666137695312,114.21668243408203,223.9199981689453,23.014890670776367,201.80618286132812,341.0446472167969,34.42580032348633,141.2640838623047,86.85539245605469,144.14212036132812,118.74177551269531,44.09980392456055,173.29893493652344,81.30999755859375
2021-06-14,397.1856384277344,334.3228454589844,217.59646606445312,119.77465057373047,110.17739868164062,174.7100067138672,25.84000015258789,48.31999969482422,127.30278778076172,249.9557647705078,17.977563858032227,205.89666748046875,116.39045715332031,239.10000610351562,22.915149688720703,200.2608184814453,342.2673034667969,34.06834030151367,138.866943359375,87.19427490234375,144.50033569335938,118.78582000732422,44.0402717590332,174.0804901123047,81.55000305175781
2021-06-15,396.4570617675781,332.139404296875,216.97482299804688,119.6305160522461,110.26016235351562,174.0500030517578,25.649999618530273,48.97999954223633,126.4832534790039,248.4842987060547,17.747844696044922,199.7866668701172,113.20355987548828,232.2100067138672,23.351512908935547,200.67230224609375,342.8742370605469,34.13249588012695,136.7605743408203,86.26025390625,143.73138427734375,118.55687713623047,43.86480712890625,171.8138885498047,80.47000122070312
2021-06-16,394.2435302734375,330.9263916015625,216.5133056640625,119.52873229980469,109.94576263427734,171.11000061035156,25.260000228881836,48.75,126.98088836669922,247.54171752929688,17.769542694091797,201.6233367919922,112.65274810791016,228.0500030517578,23.226835250854492,198.56919860839844,337.42059326171875,34.09584045410156,137.72122192382812,85.69821166992188,143.67898559570312,116.9103775024414,42.97185134887695,170.64151000976562,80.11000061035156
2021-06-17,394.1127624511719,335.12835693359375,214.0831756591797,121.31828308105469,110.55797576904297,165.85000610351562,24.049999237060547,48.040000915527344,128.58090209960938,250.92713928222656,18.614608764648438,205.53334045410156,116.55767059326172,230.66000366210938,22.437232971191406,191.5192413330078,336.80487060546875,33.0876350402832,133.7465057373047,85.59074401855469,144.36927795410156,117.97576904296875,43.15044021606445,170.63172912597656,84.55999755859375
2021-06-18,388.7960205078125,332.49853515625,209.2230224609375,123.59978485107422,111.13711547851562,164.92999267578125,23.8799991607666,48.36000061035156,127.28329467773438,249.51333618164062,18.596145629882812,207.77000427246094,116.95111083984375,229.2899932861328,21.77229881286621,190.9797821044922,333.5414733886719,32.29022216796875,130.36231994628906,84.135986328125,141.53819274902344,116.25,42.351470947265625,168.45301818847656,84.6500015258789
2021-06-21,394.36199951171875,334.56500244140625,213.69703674316406,121.5302963256836,110.49178314208984,166.9499969482422,24.079999923706055,49.36000061035156,129.07850646972656,252.59107971191406,18.385135650634766,206.94332885742188,117.55111694335938,222.60000610351562,22.700124740600586,194.95736694335938,336.4530029296875,33.043853759765625,132.57440185546875,85.87178802490234,143.16342163085938,117.16574096679688,42.736854553222656,169.9673614501953,82.58999633789062
2021-06-22,396.470458984375,337.68359375,214.66712951660156,121.82716369628906,110.67377471923828,166.25,23.850000381469727,49.41999816894531,130.7175750732422,255.3609619140625,18.843584060668945,207.90333557128906,119.03636169433594,222.47000122070312,22.851259231567383,194.8842315673828,336.4354553222656,33.099063873291016,132.38050842285156,85.42542266845703,142.97119140625,117.20974731445312,42.93425369262695,169.5081787109375,83.58000183105469
2021-06-23,395.9924621582031,337.8487854003906,215.37359619140625,121.5133285522461,110.50007629394531,166.13999938964844,23.93000030517578,49.720001220703125,130.44442749023438,255.13014221191406,19.013689041137695,218.85667419433594,121.5052261352539,226.00999450683594,22.91423797607422,195.48768615722656,331.9053649902344,33.163475036621094,133.1824951171875,85.2766342163086,142.10610961914062,117.0424575805664,42.59899139404297,171.2960662841797,83.81999969482422
2021-06-24,398.3350830078125,339.93768310546875,218.4159393310547,121.70840454101562,110.71517181396484,166.0399932861328,24.040000915527344,49.84000015258789,130.16146850585938,256.495849609375,19.161603927612305,226.60667419433594,123.2265396118164,229.92999267578125,23.111557006835938,200.56259155273438,332.2572326660156,33.57755661010742,134.40753173828125,85.09268188476562,142.75274658203125,117.12171173095703,42.89665222167969,173.8362579345703,86.0999984741211
