ticker,selected,weight,expected_return
SPY,1,-0.0,1.7425162137846897e-05
QQQ,1,-0.0,2.99870737510763e-05
IWM,1,1.0,3.0318150786991007e-05
TLT,1,-0.0,1.534278210262038e-05
LQD,1,-0.0,4.5398522831256075e-06
