Date,optimized_daily_return,naive_daily_return,optimized_cumulative_return,naive_cumulative_return
2022-03-09,-0.006059233558640385,-0.0020801470236182047,-0.006059233558640353,-0.0020801470236182507
2022-03-10,0.0015991665248435572,0.0013813596340445202,-0.004469756757269905,-0.0007016608207048858
2022-03-11,0.0002008626816174941,-0.00048395952349064,-0.004269791882980933,-0.0011852807687591227
2022-03-14,0.0006130379367095067,0.0007586421603174801,-0.003659371490677521,-0.0004275378124046769
2022-03-15,-0.0010207980025324728,-0.0002833775795323001,-0.004676434014101782,-0.0007107942373065779
2022-03-16,-0.0010393134185907077,-0.00342146198529172,-0.005710887152070576,-0.004129824267135929
2022-03-17,0.0002132651879692656,0.0016275691222847998,-0.005498839897523422,-0.00250897671930872
2022-03-18,0.00047711035681564234,0.00048151228940720005,-0.005024353094173262,-0.0020286725330256328
2022-03-21,0.0007361224836955593,0.0017965588140951402,-0.004291929149756402,-0.00023575834845057653
2022-03-22,0.0006298849792312507,0.00030617058226913994,-0.0036647475922285677,7.034005154782363e-05
2022-03-23,0.0015429873013888336,0.0021216998384068803,-0.0021274149498373696,0.002192189130430622
2022-03-24,-0.0005926404894364356,-0.00030363586992055987,-0.0027187946470367264,0.0018878876332564243
2022-03-25,0.002301310697996111,0.00215830689897014,-0.0004237407402475357,0.0040502691731298945
2022-03-28,-0.0018170807063777935,-0.00042381050066525995,-0.0022400514755016587,0.0036247421258583934
2022-03-29,0.0023125596353195292,0.0014018926380736,6.732790719454762e-05,0.005031716263233177
2022-03-30,0.0017151389592775853,0.00126080616419618,0.0017825823431887322,0.006298866446310392
2022-03-31,0.0008956786545117885,0.00018965348696774013,0.0026798576186553014,0.006489714535263591
2022-04-01,0.0022677644277649175,0.0021201214266134,0.004953699332199246,0.008623594944715762
2022-04-04,0.001029313518857134,0.0008828890019867001,0.005988111760747206,0.009514097623836815
2022-04-05,-0.00023598012850051638,-0.0010611629319107602,0.005750718556863932,0.00844283868419704
2022-04-06,0.0001410160968352642,-0.00025853324192110286,0.005892545597584231,0.008182122687819815
2022-04-07,0.002324488995731603,0.00223986406389794,0.008230731750714426,0.010440313594292538
2022-04-08,0.0009210604852362881,0.0009073151919028801,0.009159373237730861,0.011357101441327622
2022-04-11,9.7681534686661e-05,0.0003171385055027951,0.009257949474052118,0.011677841721008386
2022-04-12,0.0009554888182095682,0.0016741322209043001,0.01022228415946369,0.013371524193008577
2022-04-13,0.0008735723506830797,0.0009402059221196401,0.011104786414949164,0.014324302101362374
2022-04-14,0.00040180578157037264,-0.00019282008382928896,0.0115110541639043,0.01412872000440113
2022-04-18,0.0013860060752475321,0.0012313146379584001,0.012913014630155484,0.01537743154211646
2022-04-19,0.0004403600643499845,0.0005666077406311186,0.01335906107045881,0.015952752254490443
2022-04-20,0.0005154021549899016,-0.0002696809317709,0.013881348514312997,0.015678769169627182
2022-04-21,-0.0006361720779104489,-0.00126031402488776,0.01323634551007391,0.014398694972062032
2022-04-22,0.00076003792607338,0.0009131609277244,0.014006443560737658,0.015325004225445138
2022-04-25,0.0011066891494963035,0.00101579738047804,0.015128633489345678,0.016356368705071178
2022-04-26,-0.004184490359468263,-0.00500331715968688,0.010880837508889352,0.011271215445172178
2022-04-27,0.001360739158121571,0.0014305973541598603,0.012256382648682562,0.012717937370326116
2022-04-28,-0.00022469757684875577,0.00011022761616524002,0.012028931092351813,0.01282956685441028
2022-04-29,-0.0008491389958748769,-0.0011856320685474401,0.011169577862007785,0.01162872363997458
2022-05-02,-0.00042366855587305346,-0.00122782882570984,0.010741177107212119,0.010386616732173337
2022-05-03,0.0014465798167117342,0.0018415846051291,0.012203294893935013,0.012247329170775867
2022-05-04,-0.0006688613898397309,-0.00130103817302958,0.011526271191311999,0.010930356754977444
2022-05-05,-0.004276156481168199,-0.006407534083598181,0.007200826570885388,0.00445278603792576
2022-05-06,0.00031389465985283307,8.520359840533611e-07,0.007516981531745293,0.004453641867843583
2022-05-09,-0.011878327796255845,-0.01486144052995816,-0.004450635435183092,-0.010473986195875251
2022-05-10,-0.0008286007645435765,-0.0008152178184762398,-0.005275548399802377,-0.011280665434174164
2022-05-11,-0.014763395229460395,-0.01974869069899086,-0.019961058623184313,-0.030806577760626785
2022-05-12,0.002239672248067164,0.00239459682285344,-0.017766092604157624,-0.028485750271001975
2022-05-13,-0.003264236481022825,-0.0060063634689185,-0.02097233635757667,-0.034321017970108
