Date,optimized,equal_weight_k5,unconstrained_n25,optimized_cum_logret,equal_weight_k5_cum_logret,unconstrained_n25_cum_logret
2021-06-07,0.0009033338902786427,0.0008767468388187103,0.0002509060256480012,0.0009029261297640898,0.000876362720808747,0.000250874553995245
2021-06-08,0.0004927669249291569,0.000566336368123789,0.00018529374275337712,0.0013955716849416893,0.0014425387810142964,0.0004361511319833437
2021-06-09,0.0008420837764100189,0.0009584366129859201,0.0002521403347945247,0.0022373011077248236,0.0024005163868924748,0.0006882596847459638
2021-06-10,0.0006229347956191269,0.00058374460867162,0.00011597501298939531,0.002860041960002586,0.002984090682956163,0.0008042279731533844
2021-06-11,0.0005911461552423477,0.00067957851505776,0.00019496562647511046,0.003451013457185422,0.0036634383890974324,0.0009991745963006178
2021-06-14,-6.2939163155026e-05,-0.00027147255835375996,-1.5524445932924107e-05,0.003388072313278152,0.003391928975398366,0.000983650029862269
2021-06-15,0.000201751851092278,0.0001226259966960407,6.064374653487355e-05,0.0035898038152025534,0.0035145474541414153,0.0010442919376395276
2021-06-16,0.000538940202619078,0.00057247081321042,0.0001230628211346583,0.004128598841709062,0.004086854468446275,0.0011673471871663493
2021-06-17,-0.0003270356984788395,-0.0007037373477369201,-0.0004170046521792661,0.003801509655394277,0.0033828693813463175,0.0007502555643681283
2021-06-18,0.0005861024167128266,0.00066568281000276,2.1775099873283486e-05,0.0043874403811680765,0.0040483307228269694,0.000772030427167305
2021-06-21,0.00023877190338875265,0.00031174531955094,-7.214370391900367e-05,0.004626183783082687,0.004360027459902398,0.0006998841207660696
2021-06-22,0.00035638099379805985,0.0004068796904677192,0.0001616985146725059,0.00498250128825805,0.004766824397275125,0.0008615695636427573
2021-06-23,-0.00014571976588972894,-0.00010393587929864503,6.185427668200164e-05,0.004836770904211705,0.004662883116268643,0.000923421927427793
2021-06-24,0.0001033264668468521,6.886252657794e-05,4.922258710954468e-05,0.0049400920332468715,0.004731743271931599,0.0009726433031456024
2021-06-25,0.0002926567001901421,0.00036982114773862005,0.00012209218321378114,0.005232705917818289,0.005101496052684663,0.0010947280337152863
2021-06-28,-0.0017457047404559,-0.0021715528164748237,-0.00042427595695730664,0.003485475659180587,0.0029275819964018207,0.0006703620462481074
2021-06-29,0.00030381892175057216,0.00026778523524492,0.00010362276707458109,0.0037892484373085234,0.0031953313835801364,0.0007739794448545802
2021-06-30,0.0003695414680743162,0.00016685715961946,6.956003948174897e-05,0.004158721641751407,0.0033621746240919854,0.0008435370651489943
2021-07-01,7.626731371584985e-05,0.00013843141819830002,8.209632817976824e-05,0.0042349860472634965,0.0035005964615456354,0.000925630023609663
2021-07-02,0.00044663032348924895,0.00057161270480832,0.00013460944381063958,0.004681516661117709,0.004072045858041582,0.0010602304083820342
2021-07-06,6.759148916206175e-05,0.00031107532482296005,1.3416804362526054e-05,0.004749105866078067,0.004383072808967411,0.00107364712274014
2021-07-07,-0.0007395200021405246,-0.0009743419556528532,-0.00016387067578554996,0.004009312284133973,0.003408255873637832,0.0009097630186883248
2021-07-08,9.633628455018042e-05,0.00029290285634692,9.502303313458485e-05,0.0041056439286421935,0.0037011158423175903,0.00100478153742058
2021-07-09,0.000162184607455312,0.00022807550441708018,-5.3253953723113735e-05,0.0042678153855959175,0.003929165341470825,0.0009515261656553106
2021-07-12,-0.00010190631527013614,5.916802236642e-05,3.908228200381285e-05,0.004165903877524399,0.003988331613478929,0.0009906076839666024
2021-07-13,0.0002427709906673991,0.0003702176812064794,0.00011349939833797673,0.00440864540408342,0.0043584807810290215,0.0011041006417352663
2021-07-14,-0.00040415542271577326,-0.00040459988695123084,-0.00010236991767235143,0.0040044082885529915,0.003953799021459064,0.0010017254839053001
